phone_id,current_link,phone_garantie,phone_model,phone_price,phone_tildsduur,phone_title_details,phone_title,phone_toestelmerk
1,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite,Levenslang,"Alcatel Shine Lite","€ 99.00","1 uur alleen op afspraak","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.","Touchscreen / lcd scherm vervangen
",Alcatel
2,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite,"3 maanden","Alcatel Shine Lite","€ 49.00","1 uur alleen op afspraak","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.","Oplaad connector vervangen
",Alcatel
3,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite,"3 maanden","Alcatel Shine Lite","€ 39.00","1 uur alleen op afspraak","Werkt de achter camera van uw toestel niet? Gaat camera lens niet open? Heeft u problemen met flits? Bij deze reparatie wordt de kapotte  camera-unit inclusief het flits vervangen door een nieuw, origineel exemplaar.","Achter camera
",Alcatel
4,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite,,"Alcatel Shine Lite","€ 35.00","1 werkdag","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.","Waterschade reparatie
",Alcatel
5,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite,"3 maanden","Alcatel Shine Lite","€ 35.00","1 uur alleen op afspraak","Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.","Software herstel
",Alcatel
6,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite,"3 maanden","Alcatel Shine Lite","€ 35.00","1 uur alleen op afspraak","Verstaat u tijdens het bellen uw gesprekspartner slecht, of zelfs niet?
Bij deze reparatie wordt de oor speaker unit vervangen door een nieuw, origineel exemplaar.","Oorspeaker vervangen
",Alcatel
7,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite,,"Alcatel Shine Lite","€ 35.00",,,"Luidspreker
",Alcatel
8,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite,"3 maanden","Alcatel Shine Lite","€ 29.00","1 uur alleen op afspraak","Werkt de camera van uw toestel niet? Gaat camera lens niet open? Bij deze reparatie wordt de kapotte smartphone of tablet camera-unit vervangen door een nieuw, origineel exemplaar.","Voor camera
",Alcatel
9,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite,,"Alcatel Shine Lite","€ 0.00","Wordt bij het ontvangst aangeven","Omschrijf de klacht zo duidelijk mogelijk bij de klachtomschrijving.","Anders
",Alcatel
10,https://www.doctorphone.nl/reparatie-alcatel-idol-4,Levenslang,"Idol 4","€ 99.00","1 uur alleen op afspraak","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.","Touchscreen / lcd scherm vervangen
",Alcatel
11,https://www.doctorphone.nl/reparatie-alcatel-idol-4,"3 maanden","Idol 4","€ 49.00","1 uur alleen op afspraak","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.","Oplaad connector vervangen
",Alcatel
12,https://www.doctorphone.nl/reparatie-alcatel-idol-4,"3 maanden","Idol 4","€ 49.00","1 uur alleen op afspraak","Werkt de achter camera van uw toestel niet? Gaat camera lens niet open? Heeft u problemen met flits? Bij deze reparatie wordt de kapotte  camera-unit inclusief het flits vervangen door een nieuw, origineel exemplaar.","Achter camera
",Alcatel
13,https://www.doctorphone.nl/reparatie-alcatel-idol-4,,"Idol 4","€ 49.00",,,"Koptelefoon aansluiting
",Alcatel
14,https://www.doctorphone.nl/reparatie-alcatel-idol-4,"3 maanden","Idol 4","€ 39.00","1 uur alleen op afspraak","Werkt de camera van uw toestel niet? Gaat camera lens niet open? Bij deze reparatie wordt de kapotte smartphone of tablet camera-unit vervangen door een nieuw, origineel exemplaar.","Voor camera
",Alcatel
15,https://www.doctorphone.nl/reparatie-alcatel-idol-4,,"Idol 4","€ 35.00","1 werkdag","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.","Waterschade reparatie
",Alcatel
16,https://www.doctorphone.nl/reparatie-alcatel-idol-4,"3 maanden","Idol 4","€ 35.00","1 uur alleen op afspraak","Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.","Software herstel
",Alcatel
17,https://www.doctorphone.nl/reparatie-alcatel-idol-4,,"Idol 4","€ 29.00",,,"Luidspreker
",Alcatel
18,https://www.doctorphone.nl/reparatie-alcatel-idol-4,,"Idol 4","€ 0.00","Wordt bij het ontvangst aangeven","Omschrijf de klacht zo duidelijk mogelijk bij de klachtomschrijving.","Anders
",Alcatel
19,https://www.doctorphone.nl/reparatie-alcatel-idol-5,Levenslang,"Idol 5","€ 119.00","1 uur alleen op afspraak","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.","Touchscreen / lcd scherm vervangen
",Alcatel
20,https://www.doctorphone.nl/reparatie-alcatel-idol-5,"3 maanden","Idol 5","€ 49.00","1 uur alleen op afspraak","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.","Oplaad connector vervangen
",Alcatel
21,https://www.doctorphone.nl/reparatie-alcatel-idol-5,,"Idol 5","€ 39.00",,,"Luidspreker
",Alcatel
22,https://www.doctorphone.nl/reparatie-alcatel-idol-5,,"Idol 5","€ 39.00",,,"Koptelefoon aansluiting
",Alcatel
23,https://www.doctorphone.nl/reparatie-alcatel-idol-5,,"Idol 5","€ 35.00","1 werkdag","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.","Waterschade reparatie
",Alcatel
