PHONE_ID,PHONE_TOESTELMERK,PHONE_MODEL,PHONE_TITLE,PHONE_TITLE_DETAILS,PHONE_TILDSDUUR,PHONE_GARANTIE,PHONE_PRICE,CURRENT_LINK
1,Alcatel,Alcatel Shine Lite,"Touchscreen / lcd scherm vervangen
","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,Levenslang,€ 99.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
2,Alcatel,Alcatel Shine Lite,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
3,Alcatel,Alcatel Shine Lite,"Achter camera
","Werkt de achter camera van uw toestel niet? Gaat camera lens niet open? Heeft u problemen met flits? Bij deze reparatie wordt de kapotte  camera-unit inclusief het flits vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
4,Alcatel,Alcatel Shine Lite,"Prijsopgave voor verzekering
","Heeft u uw toestel laten vallen of derden en daardoor schade aan het toestel. Veel mensen weten niet dat de kosten voor het repareren van het toestel vaak bij de verzekering gedeclareerd kunnen worden.

Bij ons kunt u terecht voor een officiele factuur van de reparatiekosten. De kosten voor de factuur worden in mindering gebracht op de totale reparatiekosten als u het toestel bij ons laat repareren.",Direct na reparatie onderzoek,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
5,Alcatel,Alcatel Shine Lite,"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 werkdag,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
6,Alcatel,Alcatel Shine Lite,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,3 maanden,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
7,Alcatel,Alcatel Shine Lite,"Oorspeaker vervangen
","Verstaat u tijdens het bellen uw gesprekspartner slecht, of zelfs niet?
Bij deze reparatie wordt de oor speaker unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
8,Alcatel,Alcatel Shine Lite,"Luidspreker
",,,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
9,Alcatel,Alcatel Shine Lite,"Voor camera
","Werkt de camera van uw toestel niet? Gaat camera lens niet open? Bij deze reparatie wordt de kapotte smartphone of tablet camera-unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 29.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
10,Alcatel,Alcatel Shine Lite,"Accu vervangen
","Laadt uw toestel niet of nauwelijks meer op? Valt het toestel vaak uit? Geeft het telkens andere percentages weer? Waarschijnlijk is dan de accu van de smartphone of tablet aan vervanging toe. Wij vervangen snel uw oude accu door een nieuw, origineel exemplaar!",1 uur alleen op afspraak,3 maanden,€ 25.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
11,Alcatel,Alcatel Shine Lite,"Anders
",Omschrijf de klacht zo duidelijk mogelijk bij de klachtomschrijving.,Wordt bij het ontvangst aangeven,,€ 0.00,https://www.doctorphone.nl/reparatie-alcatel-alcatel-shine-lite
12,Alcatel,Idol 4,"Touchscreen / lcd scherm vervangen
","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,Levenslang,€ 99.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
13,Alcatel,Idol 4,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
14,Alcatel,Idol 4,"Achter camera
","Werkt de achter camera van uw toestel niet? Gaat camera lens niet open? Heeft u problemen met flits? Bij deze reparatie wordt de kapotte  camera-unit inclusief het flits vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
15,Alcatel,Idol 4,"Koptelefoon aansluiting
",,,,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
16,Alcatel,Idol 4,"Accu vervangen
","Laadt uw toestel niet of nauwelijks meer op? Valt het toestel vaak uit? Geeft het telkens andere percentages weer? Waarschijnlijk is dan de accu van de smartphone of tablet aan vervanging toe. Wij vervangen snel uw oude accu door een nieuw, origineel exemplaar!",1 uur alleen op afspraak,3 maanden,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
17,Alcatel,Idol 4,"Voor camera
","Werkt de camera van uw toestel niet? Gaat camera lens niet open? Bij deze reparatie wordt de kapotte smartphone of tablet camera-unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
18,Alcatel,Idol 4,"Prijsopgave voor verzekering
","Heeft u uw toestel laten vallen of derden en daardoor schade aan het toestel. Veel mensen weten niet dat de kosten voor het repareren van het toestel vaak bij de verzekering gedeclareerd kunnen worden.

Bij ons kunt u terecht voor een officiele factuur van de reparatiekosten. De kosten voor de factuur worden in mindering gebracht op de totale reparatiekosten als u het toestel bij ons laat repareren.",Direct na reparatie onderzoek,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
19,Alcatel,Idol 4,"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 werkdag,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
20,Alcatel,Idol 4,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,3 maanden,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
21,Alcatel,Idol 4,"Luidspreker
",,,,€ 29.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
22,Alcatel,Idol 4,"Anders
",Omschrijf de klacht zo duidelijk mogelijk bij de klachtomschrijving.,Wordt bij het ontvangst aangeven,,€ 0.00,https://www.doctorphone.nl/reparatie-alcatel-idol-4
23,Alcatel,Idol 5,"Touchscreen / lcd scherm vervangen
","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,Levenslang,€ 119.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
24,Alcatel,Idol 5,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
25,Alcatel,Idol 5,"Accu vervangen
","Laadt uw toestel niet of nauwelijks meer op? Valt het toestel vaak uit? Geeft het telkens andere percentages weer? Waarschijnlijk is dan de accu van de smartphone of tablet aan vervanging toe. Wij vervangen snel uw oude accu door een nieuw, origineel exemplaar!",1 uur alleen op afspraak,3 maanden,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
26,Alcatel,Idol 5,"Luidspreker
",,,,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
27,Alcatel,Idol 5,"Koptelefoon aansluiting
",,,,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
28,Alcatel,Idol 5,"Prijsopgave voor verzekering
","Heeft u uw toestel laten vallen of derden en daardoor schade aan het toestel. Veel mensen weten niet dat de kosten voor het repareren van het toestel vaak bij de verzekering gedeclareerd kunnen worden.

Bij ons kunt u terecht voor een officiele factuur van de reparatiekosten. De kosten voor de factuur worden in mindering gebracht op de totale reparatiekosten als u het toestel bij ons laat repareren.",Direct na reparatie onderzoek,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
29,Alcatel,Idol 5,"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 werkdag,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
30,Alcatel,Idol 5,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,3 maanden,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
31,Alcatel,Idol 5,"Oorspeaker vervangen
","Verstaat u tijdens het bellen uw gesprekspartner slecht, of zelfs niet?
Bij deze reparatie wordt de oor speaker unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
32,Alcatel,Idol 5,"Anders
",Omschrijf de klacht zo duidelijk mogelijk bij de klachtomschrijving.,Wordt bij het ontvangst aangeven,,€ 0.00,https://www.doctorphone.nl/reparatie-alcatel-idol-5
